frequency,MAG,PHA
10.0,-12.1,72.0
10.803315190764677,-11.5,71.0
11.671161911100675,-10.9,69.25
12.608724076806801,-10.4,67.625
13.621602035512725,-9.8,66.2222222222222
14.715846019280566,-9.3,65.0
15.897992284504754,-8.8,63.375
17.175102154984984,-8.25555555555555,62.0
18.55480420138844,-7.75,59.875
20.045339809052397,-7.3,58.5789473684211
21.655612406317555,-6.8,56.2105263157895
23.395240647448244,-6.3,55.0
25.27461586781727,-5.9,53.0
27.304964154553225,-5.5,50.35
29.498413403416983,-5.1,49.0
31.868065762459103,-4.7,47.4
34.42807589518621,-4.4,45.0
37.19373553072642,-4.1,43.0
40.18156480603806,-3.8,40.0588235294118
43.40941094577661,-3.5,39.0
46.89655486926548,-3.2,36.6764705882353
50.663826361366496,-3.0,34.8529411764706
54.73372849520145,-2.8,33.0
59.13057204993993,-2.6,30.8571428571429
63.88062072657209,-2.4,29.0285714285714
69.01224802908531,-2.3,27.0
74.55610674814365,-2.1,25.9428571428571
80.5453120596493,-2.0,23.8688524590164
87.01563933188906,-1.9,22.9193548387097
94.00573782282974,-1.8,21.8333333333333
101.55736154404181,-1.7,19.8983050847458
109.7156186702726,-1.6,18.7230769230769
118.52924098447018,-1.6,16.9672131147541
128.05087496773325,-1.5,15.8730158730159
138.33739627296208,-1.5,15.8032786885246
149.4502494606524,-1.4,13.758064516129
161.45581502618364,-1.4,12.7704918032787
174.42580591096615,-1.3,12.7627118644068
188.43769586593098,-1.3,11.6166666666667
203.57518222611083,-1.3,9.73076923076923
219.9286858606028,-1.29219858156028,9.59574468085106
237.59589128427626,-1.2,9.6044776119403
256.68233015746944,-1.2,8.28148148148147
277.30201165910637,-1.2,7.95588235294118
299.57810349864275,-1.2,6.80152671755725
323.6436676347356,-1.2,6.36842105263158
349.64245509531366,-1.19923076923077,6.20769230769231
377.7297646467455,-1.10852713178294,4.66666666666667
408.0733704412151,-1.1,4.37931034482758
440.854524183412,-1.1,4.26589595375722
476.2690378027989,-1.1,4.11764705882353
514.5284530985853,-1.1,4.00591715976331
555.8613053440591,-1.1,3.74698795180723
600.5144883981762,-1.1,3.05487804878049
648.7547294786289,-1.1,3.01851851851852
700.8701824056907,-1.1,3.0
757.17214883374,-1.1,3.0
817.9969377519476,-1.1,2.99477806788512
883.7078743614602,-1.1,2.95652173913043
954.6974703287516,-1.1,2.75316455696203
1031.3897683787222,-1.1,2.48148148148148
1114.24287523251,-1.1,2.34426229508197
1203.7516980200685,-1.1,1.98737373737374
1300.4509005128978,-1.1,1.78908188585608
1404.9180968354592,-1.1,1.66919191919192
1517.7773017322716,-1.1,1.44723618090452
1639.702658000207,-1.1,1.0125
1771.4224633510853,-1.1,0.735660847880299
1913.7235207582544,-1.1,0.715346534653465
2067.455838273131,-1.1,0.853242320819113
2233.5377063851233,-1.1,0.926421404682274
2412.9611832536098,-1.1,0.919732441471572
2606.798020576923,-1.1,0.901315789473684
2816.206065495396,-1.1,0.665562913907285
3042.4361767690034,-1.1,0.305647840531561
3286.8396965420548,-1.1,0.0774410774410774
3550.876522326114,-1.1,0.334437086092715
3836.123827417535,-1.1,0.765676567656766
4144.285481839419,-1.1,0.586872586872587
4477.20223008213,-1.1,0.0833333333333334
4836.862686437176,-1.1,0.0544217687074831
5225.415213602959,-1.1,0.527156549520767
5645.1807555169635,-1.1,0.306709265175719
6098.666701068882,-1.1,0.00326797385620915
6588.581861506815,-1.1,0.333333333333334
7117.852651001318,-1.1,0.0759075907590759
7689.640567018716,-1.1,0.021671826625387
8307.36107491936,-1.1,0.189024390243902
8974.70400958435,-1.1,0.0151515151515151
9695.655615935915,-1.1,0.0353697749196141
10474.52236000632,-1.1,1.36642833800019e-18
11315.956652786066,-1.1,-0.0029585798816568
12224.984640507844,-1.1,-0.0350877192982456
13207.03622736631,-1.1,0.0117302052785924
14267.977510008572,-1.1,-0.0970588235294117
15414.145817536453,-1.1,-0.0657142857142856
16652.38756632532,-1.1,-0.205202312138728
17990.09915577833,-1.1,-0.332369942196532
19435.271149298263,-1.1,-0.408963585434174
20996.536004384416,-1.1,-0.184210526315789
22683.219636960388,-1.1,-0.117816091954023
24505.3971279426,-1.1,-0.106017191977077
26473.95290480231,-1.1,-0.469565217391304
28600.645757603914,-1.1,-0.45821325648415
30898.179077880133,-1.1,-0.380116959064327
33380.27673990301,-1.1,-0.636887608069164
36061.765077612334,-1.1,-0.700879765395895
38958.6614468756,-1.1,-0.482456140350877
42088.26990208889,-1.1,-0.769911504424779
45469.28455862411,-1.1,-1.02046783625731
49121.90125853861,-1.1,-0.944767441860465
53067.93820656121,-1.1,-1.48071216617211
57330.966296950326,-1.1,-1.63258239058932
61936.449909706054,-1.1,-2.11291291291291
66911.89901715636,-1.1,-2.43153153153153
72287.0335094958,-1.09969418960245,-2.651851851851852
78093.96072084505,-1.1,-2.88785046728972
84367.36721624843,-1.1,-3.03690851735016
91144.72598521176,-1.1,-3.158359621451104
98466.5202794123,-1.1,-3.28078175895765
106376.48543163142,-1.09565217391304,-3.54347826086957
114921.87010036998,-1.09852941176471,-3.782941176470588
124153.71850064106,-1.115625,-3.984375
134127.17530678984,-1.18253968253968,-3.59677419354839
144901.81504861978,-1.10461538461538,-3.38461538461538
156541.99796841294,-1.11538461538462,-3.89230769230769
169117.25446448068,-1.11875,-4.234375
182702.70041765415,-1.12063492063492,-4.46031746031746
197379.48588157687,-1.13064516129032,-4.90322580645161
213235.27981697593,-1.18032786885246,-5.14754098360656
230364.79376536948,-1.17704918032787,-5.80327868852459
248870.34759027854,-1.19166666666667,-6.13333333333333
268862.4806652944,-1.20508474576271,-6.44067796610169
290460.6121598046,-1.21016949152543,-6.91525423728814
313793.7543664827,-1.20689655172414,-7.25862068965517
339001.2833314499,-1.2140350877193,-8.22807017543859
366233.7713903369,-1.22321428571429,-9.01785714285714
395653.88658322685,-1.28035714285714,-9.16071428571429
427437.3643209655,-1.30727272727273,-9.4909090909091
461774.0571069106,-1.30185185185185,-10.7222222222222
498869.06858441175,-1.32264150943396,-11.5094339622642
538943.9786840606,-1.40377358490566,-11.9433962264151
582238.1671888661,-1.40384615384615,-12.4423076923077
629010.2436234453,-1.4843137254902,-13.3529411764706
679539.5920083764,-1.51372549019608,-14.9019607843137
734128.0397070115,-1.596,-15.46
793101.660333306,-1.646,-16.58
856812.7214899482,-1.72040816326531,-17.469387755102
925641.788971279,-1.8125,-17.4166666666667
1000000.0,-1.91458333333333,-19.5833333333333
